ser
estar
haber
tener
hacer
poder
decir
ir
ver
dar
querer
saber
pasar
poner
llegar
deber
parecer
creer
hablar
encontrar
quedar
seguir
llevar
llamar
dejar
salir
venir
volver
pensar
vivir
tomar
sentir
mirar
conocer
tratar
empezar
esperar
existir
contar
buscar
trabajar
entrar
escribir
perder
producir
ocurrir
entender
pedir
recibir
conseguir
recordar
aparecer
permitir
comenzar
terminar
necesitar
servir
resultar
mantener
caer
leer
sacar
crear
presentar
considerar
acabar
abrir
oír
cambiar
ganar
convertir
formar
morir
traer
partir
suponer
aceptar
realizar
explicar
comprender
tocar
preguntar
lograr
reconocer
estudiar
gustar
nacer
dirigir
alcanzar
pagar
utilizar
correr
escuchar
ofrecer
ayudar
jugar
usar
levantar
cumplir
repetir
decidir
descubrir
intentar
olvidar
comer
valer
mostrar
comprar
ocupar
mover
reír
subir
acercar
fijar
continuar
referir
suceder
interesar
dedicar
cerrar
importar
echar
aprender
sufrir
evitar
vender
obtener
indicar
imaginar
detener
responder
desarrollar
observar
señalar
soler
desear
preparar
proponer
elegir
demostrar
reunir
faltar
asegurar
significar
mandar
representar
construir
desaparecer
enseñar
guardar
surgir
meter
andar
matar
acompañar
preferir
entregar
iniciar
bajar
adquirir
actuar
acordar
crecer
romper
pretender
notar
avanzar
cortar
apoyar
recoger
aprovechar
incluir
colocar
resolver
quitar
exigir
costar
lanzar
compartir
aumentar
negar
depender
abandonar
obligar
aplicar
imponer
establecer
provocar
cruzar
defender
expresar
conservar
anunciar
participar
consistir
disponer
constituir
cubrir
cargar
atender
marcar
funcionar
merecer
insistir
tender
despertar
comentar
caber
publicar
prestar
sentar
impedir
salvar
escapar
tirar
preocupar
contestar
separar
retirar
pesar
viajar
permanecer
regresar
exponer
contemplar
durar
odiar
llenar
contener
asistir
organizar
visitar
enfrentar
enviar
intervenir
cuidar
respetar
dormir
comprobar
corresponder
firmar
informar
discutir
conducir
mejorar
sostener
advertir
bastar
mencionar
comunicar
probar
manejar
caminar
dominar
unir
extender
medir
atravesar
pronunciar
destacar
introducir
invitar
instalar
tardar
admitir
distinguir
emplear
convenir
recuperar
definir
afirmar
parar
lavar
superar
afectar
reducir
montar
devolver
transformar
identificar
poseer
proteger
determinar
cobrar
causar
inventar
luchar
dividir
ejercer
analizar
encargar
destinar
acudir
celebrar
sonar
manifestar
comprar
controlar
requerir
saltar
procurar
casar
someter
perseguir
fundar
cantar
elevar
llorar
asumir
arrastrar
declarar
nombrar
interpretar
aclarar
describir
calcular
limitar
robar
citar
besar
confundir
repartir
hallar
pintar
convencer
rodear
reflejar
ordenar
contribuir
vencer
coger
alejar
transmitir
destruir
marchar
opinar
culpar
rechazar
cometer
concluir
trasladar
figurar
concentrar
oponer
dudar
ignorar
descansar
adoptar
disfrutar
molestar
arrancar
ceder
respirar
pertenecer
atraer
acumular
atreverse
consumir
justificar
soportar
practicar
vestir
resistir
sorprender
condensar
volar
sugerir
componer
arreglar
conceder
pegar
liberar
apuntar
cocinar
mojar
nadar
calmar
girar
añadir
solicitar
atacar
coincidir
temer
juzgar
interrumpir
fabricar
confiar
operar
basar
estimar
confirmar
integrar
aprobar
animar
equivocar
grabar
proyectar
apreciar
beber
experimentar
